parts,108
party,51
passage,44
passion,145
patience,178
patient,127
peace,412
people,224
perceive,102
perfect,114
perhaps,32
peril,65
permission,4
person,191
picture,51
piece,141
pistol,5
place,516
plague,103
plain,228
plead,52
please,381
pleasure,214
pluck,136
point,244
poison,119
policy,45
porter,653
possible,97
pound,112
power,375
practice,56
praise,232
prayers,85
precious,77
prepare,63
presence,104
present,410
pretty,109
pride,107
priest,78
prince,285
prison,256
private,74
prize,53
proceed,105
profit,63
project,15
prologue,22
promise,154
proof,116
proper,95
protector,5
protest,66
proud,229
prove,351
provided,33
public,67
purpose,256
purse,106
quality,56
quarrel,122
queen,199
question,169
quick,210
quiet,106
quite,103
quoth,62
raise,73
ransom,64
rascal,88
rather,291
readable,2
ready,137
realm,60
reason,489
receive,124
regard,263
reign,273
remain,112
remedy,59
remember,159
render,55
repair,42
repent,68
report,179
reputation,45
request,85
respect,182
return,252
revenge,163
reverence,44
revolt,61
right,540
rivers,12
rogue,104
rotten,38
rough,441
round,97
royal,246
sacred,46
safety,74
saint,43
satisfied,54
saying,57
scarce,83
scene,42
scorn,139
search,53
season,67
second,113
secret,107
seeing,45
senator,34
sense,182
sentence,45
servant,253
serve,336
service,262
seven,82
several,105
shadow,104
shake,111
shall,3179
shame,352
shape,129
sharp,85
shepherd,81
shine,99
shore,77
short,164
should,1563
shows,95
sickness,53
sight,238
silence,63
silver,68
simple,84
since,299
single,63
sirrah,77
sister,502
skill,61
slain,125
slander,86
slave,170
sleep,342
slender,12
small,107
smell,66
smile,116
soldier,317
solemn,66
something,152
sometime,107
sooner,60
soothsayer,3
sorrow,236
sorry,88
sought,38
souls,110
sound,282
spare,55
speak,1201
special,64
speech,162
speed,158
spend,77
spirit,387
spite,82
spoke,207
sport,178
spring,84
staff,143
stain,110
stand,798
stars,68
state,342
steal,118
steel,77
steward,25
still,523
stomach,61
stone,145
stood,96
store,72
storm,73
story,92
straight,153
strange,283
street,129
strength,138
strike,147
stroke,64
strong,272
struck,81
study,60
stuff,67
subject,169
substance,43
success,81
sudden,126
suffer,157
summer,99
supper,63
surely,35
suspect,49
